timeJ,axJ,ayJ,azJ,aTJ
1.562,0.3169,0.509,-0.4416,0.745
1.566,0.2831,0.7194,-0.3349,0.842
1.571,0.4162,0.9632,-0.3063,1.093
1.576,0.2962,1.1712,-0.219,1.228
1.58,0.2308,1.3932,-0.4443,1.48
1.585,0.1718,1.6035,-0.7966,1.799
1.598,0.0097,1.733,-1.2113,2.114
1.604,-0.1284,1.8775,-1.6529,2.505
1.605,-0.0923,1.9255,-1.9477,2.74
1.607,0.016,1.8941,-2.1293,2.85
1.615,0.1106,1.7556,-2.2602,2.864
1.616,0.1138,1.5919,-2.3784,2.864
1.62,0.0219,1.4463,-2.457,2.851
1.628,0.0127,1.3134,-2.3183,2.664
1.63,-0.0235,1.1975,-1.981,2.315
1.636,-0.1612,1.072,-1.5461,1.888
1.639,-0.2458,0.9959,-1.131,1.527
1.645,-0.2404,0.959,-0.9489,1.37
1.649,-0.1804,0.9607,-1.0892,1.464
1.654,-0.1262,0.9725,-1.2847,1.616
1.661,-0.1882,0.9632,-1.2873,1.619
1.665,-0.3415,0.8211,-1.0036,1.341
1.668,-0.6814,0.553,-0.61,1.069
1.673,-0.7529,0.3018,-0.2348,0.844
1.68,-0.7608,0.0788,0.0947,0.771
1.684,-0.8,-0.0914,0.3813,0.891
1.688,-0.7737,-0.1588,0.619,1.004
1.694,-0.7097,-0.2005,0.8807,1.149
1.697,-0.6113,-0.1961,1.1582,1.324
1.702,-0.6763,-0.1603,1.5383,1.688
1.708,-0.7352,-0.0141,1.9042,2.041
1.712,-0.6318,0.1714,2.1551,2.252
1.716,-0.5334,0.3257,2.2515,2.337
1.721,-0.3919,0.5212,2.1902,2.285
1.726,-0.295,0.8108,2.3211,2.476
1.735,-0.1157,0.9754,2.2319,2.438
1.735,-0.1204,1.1409,2.0942,2.388
1.743,-0.3452,1.248,1.9959,2.379
1.746,-0.6111,1.2959,2.013,2.471
1.751,-0.7569,1.4041,2.1063,2.642
1.755,-0.8459,1.551,2.1052,2.748
1.761,-0.8692,1.9084,2.4133,3.197
