timeE,axE,ayE,azE,aTE
2.026,-0.3363,0.4506,-0.0259,0.563
2.054,-0.2697,0.5372,-0.1535,0.62
2.055,-0.23,0.6616,-0.2712,0.751
2.056,-0.1841,0.7143,-0.3888,0.834
2.057,-0.1631,0.7313,-0.4967,0.899
2.058,-0.1023,0.744,-0.545,0.928
2.059,-0.0829,0.7193,-0.5912,0.935
2.061,-0.081,0.7002,-0.578,0.911
2.081,-0.1066,0.6774,-0.5414,0.874
2.082,-0.079,0.6704,-0.5126,0.848
2.082,-0.1304,0.6676,-0.5182,0.855
2.083,-0.2205,0.6214,-0.5033,0.829
2.084,-0.2941,0.5225,-0.4201,0.732
2.089,-0.2218,0.44,-0.2328,0.545
2.093,-0.0772,0.4019,-0.0272,0.41
2.102,-0.0109,0.3739,0.1851,0.417
2.103,0.0157,0.2741,0.3494,0.444
2.108,0.0671,0.1497,0.4614,0.49
2.114,0.2488,0.0363,0.5046,0.564
2.119,0.5105,-0.004,0.4408,0.674
2.123,0.7234,0.0268,0.2819,0.777
2.127,0.8307,0.122,0.0491,0.841
2.144,0.8065,0.2226,-0.1288,0.847
2.145,0.7897,0.3339,-0.2545,0.894
2.146,0.6756,0.4948,-0.3595,0.911
2.178,0.3623,0.6792,-0.5013,0.919
2.179,0.0011,0.8757,-0.5798,1.05
2.18,-0.3478,0.977,-0.4973,1.15
2.181,-0.6054,0.9737,-0.2157,1.167
2.184,-0.7883,0.8605,0.1933,1.183
2.185,-0.8536,0.7057,0.6777,1.298
2.186,-0.8543,0.4654,1.2043,1.548
2.186,-0.7958,0.1454,1.7116,1.893
2.187,-0.624,-0.2197,2.1407,2.241
2.191,-0.3876,-0.6599,2.4826,2.598
2.195,-0.0328,-1.0873,2.6996,2.911
2.202,0.3655,-1.4596,2.7851,3.166
2.205,0.6943,-1.7055,2.6436,3.222
2.209,0.8936,-1.7936,2.2898,3.043
2.217,1.0067,-1.7475,1.8526,2.738
2.22,1.0315,-1.5735,1.365,2.325
2.224,0.9563,-1.3378,0.858,1.855
2.229,0.906,-1.0822,0.3427,1.452
2.241,0.8713,-0.8442,-0.1645,1.224
2.242,0.7932,-0.6131,-0.6401,1.189
2.249,0.7278,-0.4121,-0.989,1.295
2.25,0.5947,-0.269,-1.121,1.297
2.267,0.4136,-0.1459,-1.0913,1.176
2.267,0.3801,0.0243,-0.9382,1.013
2.267,0.4104,0.1453,-0.7454,0.863
2.267,0.4537,0.2171,-0.5726,0.762
2.272,0.4881,0.2297,-0.4743,0.718
2.278,0.5514,0.2024,-0.4148,0.719
2.286,0.6556,0.1281,-0.4131,0.785
2.287,0.8076,0.0718,-0.4383,0.922
2.293,0.9597,0.0411,-0.4738,1.071
2.296,1.0261,0.0104,-0.4508,1.121
2.302,1.0455,-0.02,-0.3407,1.1
2.306,1.0583,-0.0908,-0.1365,1.071
2.311,1.1003,-0.1641,0.0783,1.115
2.316,1.109,-0.2689,0.3158,1.184
2.322,1.1082,-0.3675,0.5285,1.282
2.326,1.1047,-0.4508,0.7143,1.391
2.354,1.1341,-0.5408,0.8303,1.506
2.356,1.094,-0.5729,0.9412,1.553
2.357,1.0442,-0.5835,1.0377,1.584
2.358,0.9777,-0.5752,1.0817,1.567
2.36,0.8827,-0.5555,1.0589,1.486
2.361,0.819,-0.5481,1.022,1.42
2.361,0.7529,-0.5649,1.0355,1.399
2.38,0.6961,-0.5652,1.0754,1.4
2.381,0.6292,-0.5707,1.1442,1.425
2.381,0.53,-0.5364,1.1918,1.41
2.382,0.4489,-0.4457,1.2088,1.364
2.384,0.4211,-0.3254,1.1309,1.25
2.389,0.4202,-0.2281,1.0228,1.129
2.393,0.4577,-0.1752,0.8606,0.99
2.399,0.5573,-0.157,0.673,0.888
2.403,0.6833,-0.1445,0.4168,0.813
2.407,0.817,-0.1398,0.1589,0.844
2.414,0.9513,-0.145,0.0021,0.962
2.418,1.0695,-0.1481,-0.1998,1.098
2.423,1.1691,-0.077,-0.4634,1.26
2.427,1.1981,0.0615,-0.7126,1.395
2.444,1.2139,0.2125,-0.8899,1.52
2.445,1.1567,0.3812,-0.9623,1.552
2.446,1.0456,0.4981,-1.0183,1.542
2.474,0.9025,0.5583,-1.0505,1.493
2.474,0.8656,0.626,-1.0611,1.506
2.475,0.8734,0.7081,-1.1124,1.582
2.475,0.9003,0.74,-1.1539,1.64
2.476,0.9472,0.7309,-1.1856,1.684
2.476,0.9782,0.7093,-1.1765,1.686
2.476,0.9916,0.5888,-1.1693,1.642
2.482,1.0475,0.4483,-1.1235,1.6
