time,ax,ay,az,aT
1.534,0.0291,-1.643,1.8607,2.482
1.537,-0.0248,-1.1381,1.3478,1.764
1.541,-0.1493,-0.7193,0.6257,0.965
1.547,-0.2304,-0.4192,-0.1944,0.516
1.553,-0.224,-0.1764,-0.9134,0.957
1.556,-0.1577,0.106,-1.4265,1.439
1.561,-0.1017,0.2902,-1.7822,1.809
1.566,-0.1181,0.3886,-1.9642,2.006
1.576,-0.1988,0.4494,-2.0895,2.147
1.576,-0.308,0.4871,-2.2341,2.307
1.656,-0.3692,0.4921,-2.2706,2.353
1.657,-0.5005,0.3782,-1.9955,2.092
1.657,-0.627,0.1667,-1.3754,1.521
1.657,-0.7468,-0.2748,-0.4821,0.93
1.657,-0.7182,-0.7823,0.7388,1.294
1.657,-0.6938,-1.3737,1.9804,2.508
1.657,-0.6638,-1.8522,2.9025,3.507
1.658,-0.569,-2.0842,3.4857,4.101
1.658,-0.5695,-2.0161,3.2192,3.841
1.658,-0.7222,-2.6856,2.5286,3.759
1.658,-0.6788,-2.3904,1.8243,3.083
1.658,0.1911,-1.7219,1.9029,2.573
1.659,0.4038,-1.605,1.2275,2.061
1.659,0.3433,-1.6138,0.4363,1.707
1.659,-0.462,-0.929,-0.2485,1.067
1.659,-0.3126,-0.801,-0.1976,0.882
1.659,-0.0837,-0.8902,0.0034,0.894
1.67,-0.0303,-1.0886,-0.0567,1.091
1.67,-0.5051,-1.1902,-0.7683,1.504
1.673,-0.6575,-0.7973,-1.8796,2.145
1.678,-0.8445,-0.6593,-1.3778,1.745
1.687,-0.8334,-0.9218,-0.7662,1.46
1.687,-0.6172,-1.1112,-0.8262,1.516
1.693,-0.292,-1.0828,-1.0979,1.569
1.696,-0.0937,-0.9463,-1.2274,1.553
1.701,0.0895,-0.8522,-1.1144,1.406
1.706,0.2587,-0.7672,-1.0369,1.316
1.711,0.2869,-0.7421,-0.9419,1.233
1.716,0.3027,-0.7148,-0.7053,1.049
1.721,0.4458,-0.7034,-0.3797,0.915
1.725,0.6459,-0.7114,-0.1035,0.966
1.73,0.8305,-0.7046,0.0884,1.093
1.736,1.1831,-0.7718,0.2067,1.428
1.755,1.3052,-0.5237,0.3299,1.445
1.755,1.2342,-0.4196,0.4028,1.364
1.755,1.0836,-0.4681,0.4554,1.265
1.755,0.9255,-0.574,0.674,1.281
1.76,0.7432,-0.579,0.9558,1.342
1.767,1.2594,-0.6774,1.1025,1.806
1.77,1.6799,-0.7117,1.014,2.087
1.774,1.1958,-0.6249,0.7404,1.539
1.779,1.7612,0.5088,0.558,1.916
1.784,1.4257,0.3144,-0.0432,1.461
1.788,1.2437,0.0748,0.0927,1.249
1.793,1.3253,-0.1332,0.4098,1.394
1.798,1.4665,-0.4265,0.7609,1.706
1.803,1.3681,-0.6051,0.7632,1.679
1.808,1.4001,-0.6122,0.626,1.651
1.813,1.4093,-0.6308,0.4536,1.609
1.818,1.508,-0.774,0.3827,1.738
1.823,1.8589,-0.9028,0.332,2.093
1.827,1.7352,-1.017,0.2536,2.027
1.832,1.9562,-1.2861,0.4821,2.39
1.838,2.1875,-1.6116,0.3842,2.744
1.842,2.146,-1.7586,0.199,2.782
1.847,2.0406,-1.7246,0.1611,2.677
1.852,1.968,-1.4567,0.2106,2.458
1.858,2.0287,-1.0959,0.2902,2.324
1.861,2.2405,-0.8188,0.2927,2.403
1.866,2.647,-0.6345,0.2302,2.732
1.871,2.826,-0.3987,-0.0194,2.854
1.876,2.3005,-0.2264,-1.3424,2.673
1.88,2.468,0.0049,-0.233,2.479
1.886,2.8152,-0.0494,0.7618,2.917
1.89,2.6405,0.1342,0.6668,2.727
1.895,2.008,0.6931,0.5932,2.205
1.9,0.8067,1.1879,1.4099,2.012
1.905,0.3317,1.3643,1.963,2.413
1.909,0.4658,1.4876,2.122,2.633
1.915,0.6313,1.6754,2.2781,2.898
1.92,0.5157,1.6758,2.3601,2.94
1.924,0.3987,1.6055,2.6653,3.137
1.929,0.2322,1.5958,2.8695,3.292
1.934,0.0671,1.4152,2.9372,3.261
1.939,0.0076,1.2708,2.7413,3.022
1.944,-0.3625,0.9678,2.2649,2.49
1.949,-0.8577,0.441,1.7983,2.041
1.953,-0.7752,-0.0244,1.6718,1.843
1.959,-0.7914,-0.4482,1.3922,1.663
1.963,-1.0426,-0.8978,1.0041,1.703
1.969,-1.5181,-1.1671,0.6671,2.028
1.973,-2.1441,-1.3417,0.4682,2.572
1.978,-2.3879,-1.3711,0.7051,2.842
1.983,-2.4892,-1.334,1.0059,2.998
1.987,-2.4191,-1.28,1.3306,3.043
1.993,-2.0463,-1.1702,1.6831,2.896
1.997,-1.5113,-1.0718,1.9909,2.72
2.002,-0.8951,-0.9541,2.3273,2.67
2.007,-0.4251,-0.9059,2.5338,2.724
2.012,-0.2985,-0.9209,2.5954,2.77
2.016,-0.4297,-0.947,2.4834,2.692
2.032,-0.6718,-0.9439,2.2711,2.55
2.032,-0.7951,-1.014,1.9706,2.355
2.032,-0.7616,-1.0886,1.694,2.153
2.036,-0.1913,-1.1379,1.5345,1.92
2.041,-0.2239,-1.2636,0.9624,1.604
2.045,0.0836,-1.0539,0.6315,1.231
2.051,-0.392,-1.1583,0.5789,1.353
2.057,-0.2134,-1.4321,1.275,1.929
2.06,-0.0794,-1.2025,2.2474,2.55
2.065,-0.5006,-1.2714,2.5647,2.906
2.071,-1.0664,-1.3631,2.2522,2.84
2.075,-1.5056,-1.0396,1.8745,2.619
2.079,-1.7178,-0.5034,1.3596,2.248
2.084,-1.8941,-0.46,0.8449,2.124
2.089,-1.6421,-0.4062,0.8383,1.888
2.094,-1.5247,-0.4258,1.1096,1.933
2.099,-1.2978,-0.2418,1.0532,1.689
2.103,-0.8302,0.1405,0.9059,1.237
2.109,-0.2379,0.5088,0.8288,1.001
2.113,0.3209,0.7108,0.8862,1.181
2.119,2.3525,-0.1213,2.7386,3.612
2.123,3.0887,-0.2876,2.8372,4.204
2.128,3.5586,-0.6939,2.4699,4.387
2.133,4.0318,-1.5483,2.0249,4.77
2.138,4.1566,-2.3338,1.6327,5.039
2.153,4.0708,-2.8056,1.2332,5.095
2.153,3.7656,-2.9157,0.9012,4.847
2.153,3.5025,-2.8177,0.5643,4.53
2.159,3.0832,-2.6583,0.132,4.073
2.167,2.5055,-2.5488,-0.5079,3.61
2.167,1.949,-2.4484,-1.2512,3.37
2.177,1.5777,-2.2338,-1.8648,3.31
2.177,1.337,-1.9289,-2.2868,3.277
2.184,1.2585,-1.4609,-2.5752,3.217
2.186,1.299,-0.8121,-2.8369,3.224
2.192,1.2985,-0.2538,-2.985,3.265
2.196,1.1572,0.2231,-2.9718,3.197
2.2,0.9085,0.603,-2.8406,3.043
2.206,0.6286,0.8368,-2.6036,2.806
2.212,0.3744,0.9083,-2.3361,2.534
2.215,0.165,0.9364,-2.0276,2.24
2.22,-0.079,1.0443,-1.5897,1.904
2.236,-0.2215,1.1451,-1.0456,1.566
2.236,-0.1629,1.2285,-0.442,1.316
2.237,0.0056,1.2446,0.2374,1.267
2.24,0.1204,1.1199,0.9383,1.466
2.245,0.2021,0.9389,1.5825,1.851
2.249,0.2329,0.7006,2.014,2.145
2.254,0.2408,0.5179,2.2436,2.315
2.26,0.2784,0.3833,2.3762,2.423
2.263,0.3022,0.3878,2.4397,2.489
2.269,0.3073,0.57,2.396,2.482
2.273,0.3051,0.842,2.1552,2.334
2.278,0.1882,0.9471,1.6606,1.921
2.283,-0.0247,0.7782,0.9338,1.216
2.288,-0.1857,0.4697,0.2122,0.548
2.293,-0.2046,0.1685,-0.2852,0.389
2.298,-0.1448,-0.0491,-0.4917,0.515
2.302,-3.1921,-1.8816,12.639,13.171
